https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1698364800000,2023-10-27 00:00:00,BTC/UST,34152,34245,33409,33897,9969958.879431719,294.12511076
1698278400000,2023-10-26 00:00:00,BTC/UST,34491,34818,33755,34146,14009299.779845161,410.27645346
1698192000000,2023-10-25 00:00:00,BTC/UST,33923,35115,33706,34483,18900081.68792158,548.09853226
1698105600000,2023-10-24 00:00:00,BTC/UST,33055,35201,32847,33925,63128729.69712225,1860.83212077
1698019200000,2023-10-23 00:00:00,BTC/UST,29995,33500,29893,33057,56868622.897731304,1720.3201409
1697932800000,2023-10-22 00:00:00,BTC/UST,29903,30214,29653,29993,7727827.22187944,257.65436008
1697846400000,2023-10-21 00:00:00,BTC/UST,29669,30359,29466,29901,7098589.38026016,237.40307616
1697760000000,2023-10-20 00:00:00,BTC/UST,28719,30226,28589,29668,14857257.19674696,500.78391522
1697673600000,2023-10-19 00:00:00,BTC/UST,28322,28910,28114,28705,7744574.424540449,269.79879549
1697587200000,2023-10-18 00:00:00,BTC/UST,28395,28970,28151,28322,14270122.34133024,503.85291792
1697500800000,2023-10-17 00:00:00,BTC/UST,28504,28606,28083,28400,11232988.876172,395.52777733
1697414400000,2023-10-16 00:00:00,BTC/UST,27149,30225,27116,28504,36361195.895298965,1275.65239599
1697328000000,2023-10-15 00:00:00,BTC/UST,26857,27293,26817,27143,3326536.35686537,122.55595759
1697241600000,2023-10-14 00:00:00,BTC/UST,26856,26984,26804,26862,2012938.8368759998,74.936298
1697155200000,2023-10-13 00:00:00,BTC/UST,26765,27118,26687,26855,5539792.07336415,206.28531273
1697068800000,2023-10-12 00:00:00,BTC/UST,26876,26935,26560,26765,4213928.3889671,157.44174814
1696982400000,2023-10-11 00:00:00,BTC/UST,27389,27476,26544,26879,7436466.232481699,276.6645423
1696896000000,2023-10-10 00:00:00,BTC/UST,27590,27727,27301,27389,3705583.63725712,135.29459408
1696809600000,2023-10-09 00:00:00,BTC/UST,27918,27984,27275,27586,7393578.68677844,268.01923754
1696723200000,2023-10-08 00:00:00,BTC/UST,27956,28084,27700,27919,2577272.3091975497,92.31248645
1696636800000,2023-10-07 00:00:00,BTC/UST,27934,28022,27855,27955,1589820.3385486999,56.87069714
1696550400000,2023-10-06 00:00:00,BTC/UST,27412,28282,27188,27938,5153907.72602538,184.47661701
1696464000000,2023-10-05 00:00:00,BTC/UST,27789,28112,27366,27408,6355810.83938064,231.89619233
1696377600000,2023-10-04 00:00:00,BTC/UST,27429,27832,27216,27797,11407443.72499886,410.38398838
1696291200000,2023-10-03 00:00:00,BTC/UST,27493,27667,27158,27422,5951722.75447162,217.04189171
1696204800000,2023-10-02 00:00:00,BTC/UST,28000,28572,27298,27501,16739877.73014198,608.70069198
1696118400000,2023-10-01 00:00:00,BTC/UST,26961,28073,26953,28000,8891992.36072,317.57115574
1696032000000,2023-09-30 00:00:00,BTC/UST,26910,27085,26890,26960,712242.755956,26.41849985
1695945600000,2023-09-29 00:00:00,BTC/UST,27021,27235,26685,26913,3867874.3847436,143.7176972
1695859200000,2023-09-28 00:00:00,BTC/UST,26373,27303,26347,27020,6181941.95276,228.791338
1695772800000,2023-09-27 00:00:00,BTC/UST,26222,26845,26123,26369,9013830.00389221,341.83435109
1695686400000,2023-09-26 00:00:00,BTC/UST,26307,26393,26101,26221,2576753.28644097,98.27059557
1695600000000,2023-09-25 00:00:00,BTC/UST,26249,26438,26009,26302,6934109.9845876,263.6343238
1695513600000,2023-09-24 00:00:00,BTC/UST,26577,26727,26128,26250,3255356.0563125,124.01356405
1695427200000,2023-09-23 00:00:00,BTC/UST,26577,26633,26523,26576,856010.03185632,32.20988982
1695340800000,2023-09-22 00:00:00,BTC/UST,26565,26738,26482,26578,3385181.2366396203,127.36779429
1695254400000,2023-09-21 00:00:00,BTC/UST,27124,27151,26381,26566,5261742.3580141,198.06302635
1695168000000,2023-09-20 00:00:00,BTC/UST,27209,27382,26810,27121,6002893.11868226,221.33745506
1695081600000,2023-09-19 00:00:00,BTC/UST,26758,27483,26674,27205,11655496.9285789,428.43216058
