https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1652360400,2022-05-12 13:00:00,DOGE/USD,0.07928,0.08057,0.07548,0.07611,17758.006622,1351.56188400042
1652356800,2022-05-12 12:00:00,DOGE/USD,0.0773,0.07927,0.0756,0.07927,10227.168858,810.7076753736599
1652353200,2022-05-12 11:00:00,DOGE/USD,0.07792,0.08094,0.07738,0.07779,50045.808582,3893.0634495937798
1652349600,2022-05-12 10:00:00,DOGE/USD,0.07502,0.07969,0.07358,0.07969,61862.350179,4929.81068576451
1652346000,2022-05-12 09:00:00,DOGE/USD,0.07618,0.07759,0.07449,0.07547,40132.898219,3028.82982858793
1652342400,2022-05-12 08:00:00,DOGE/USD,0.07813,0.07813,0.07539,0.07618,23744.813674,1808.87990568532
1652338800,2022-05-12 07:00:00,DOGE/USD,0.07192,0.07774,0.06772,0.07774,51815.812798,4028.16128691652
1652335200,2022-05-12 06:00:00,DOGE/USD,0.07226,0.07612,0.07226,0.0742,19313.764691,1433.0813400722
1652331600,2022-05-12 05:00:00,DOGE/USD,0.07344,0.07384,0.07011,0.07228,19375.819296,1400.48421871488
1652328000,2022-05-12 04:00:00,DOGE/USD,0.07748,0.07806,0.0751,0.07556,6587.107042,497.72180809352
1652324400,2022-05-12 03:00:00,DOGE/USD,0.08255,0.08255,0.07949,0.0804,13124.353814,1055.1980466456
1652320800,2022-05-12 02:00:00,DOGE/USD,0.08613,0.08613,0.08235,0.08235,19144.948123,1576.58647792905
1652317200,2022-05-12 01:00:00,DOGE/USD,0.08837,0.08881,0.08676,0.088,2287.874717,201.332975096
1652313600,2022-05-12 00:00:00,DOGE/USD,0.08501,0.08807,0.08424,0.08807,23190.918302,2042.4241748571396
1652310000,2022-05-11 23:00:00,DOGE/USD,0.08501,0.08505,0.08369,0.08449,23334.344081,1971.5187314036898
1652306400,2022-05-11 22:00:00,DOGE/USD,0.08185,0.0854,0.08185,0.08444,20429.679269,1725.08211747436
1652302800,2022-05-11 21:00:00,DOGE/USD,0.08095,0.08326,0.07829,0.08168,70382.201444,5748.81821394592
1652299200,2022-05-11 20:00:00,DOGE/USD,0.084,0.08605,0.08211,0.08211,129045.261908,10595.90645526588
1652295600,2022-05-11 19:00:00,DOGE/USD,0.086,0.08693,0.08348,0.08453,29386.725111,2484.0598736328297
1652292000,2022-05-11 18:00:00,DOGE/USD,0.08801,0.08855,0.08666,0.08744,19384.327439,1694.9655912661601
1652288400,2022-05-11 17:00:00,DOGE/USD,0.08736,0.08906,0.08419,0.08906,12012.61981,1069.8439202786
1652284800,2022-05-11 16:00:00,DOGE/USD,0.08918,0.0908,0.08755,0.08768,118156.688091,10359.97841181888
1652281200,2022-05-11 15:00:00,DOGE/USD,0.0918,0.09264,0.08857,0.0897,47886.375208,4295.4078561576
1652277600,2022-05-11 14:00:00,DOGE/USD,0.09588,0.09712,0.09291,0.09349,100601.342091,9405.21947208759
1652274000,2022-05-11 13:00:00,DOGE/USD,0.08499,0.10062,0.08499,0.09883,71194.578876,7036.16023031508
