https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1661299200000,2022-08-24 00:00:00,BTC/EUR,21615.9,21908.04,21259.88,21515.79,8.83292598,190047.38047122423
1661227200000,2022-08-23 04:00:00,BTC/EUR,21415.94,21706.91,21100.0,21396.84,15.53419294,332382.64086630964
1661212800000,2022-08-23 00:00:00,BTC/EUR,21555.61,21706.91,21100.0,21615.9,13.87359995,299890.349159205
1661140800000,2022-08-22 04:00:00,BTC/EUR,21348.92,21612.38,20924.02,21415.94,12.66750701,271286.57007573935
1661126400000,2022-08-22 00:00:00,BTC/EUR,21672.8,21672.8,20924.02,21555.61,12.65641137,272816.6674912857
1661054400000,2022-08-21 04:00:00,BTC/EUR,21119.53,21672.8,21011.32,21348.92,7.9802117,170368.901166364
1661040000000,2022-08-21 00:00:00,BTC/EUR,21048.48,21672.8,21011.32,21672.8,8.96917036,194387.03537820798
1660968000000,2022-08-20 04:00:00,BTC/EUR,21016.44,21284.68,20708.45,21119.53,13.39335022,282861.26177179656
1660953600000,2022-08-20 00:00:00,BTC/EUR,20754.45,21284.68,20708.45,21048.48,12.99975885,273625.164159048
1660881600000,2022-08-19 04:00:00,BTC/EUR,22620.24,22646.63,20721.04,21016.44,17.01210774,357533.9415912456
1660867200000,2022-08-19 00:00:00,BTC/EUR,22996.89,22996.89,20734.4,20754.45,18.23910412,378542.574503334
1660795200000,2022-08-18 04:00:00,BTC/EUR,23072.89,23234.54,22559.73,22620.24,5.95342843,134667.97990942321
1660780800000,2022-08-18 00:00:00,BTC/EUR,22954.18,23234.54,22896.07,22996.89,3.90163061,89725.3699588029
1660708800000,2022-08-17 04:00:00,BTC/EUR,23629.08,24033.99,22791.91,23072.89,6.58990992,152048.2666940688
1660694400000,2022-08-17 00:00:00,BTC/EUR,23471.02,24033.99,22791.91,22954.18,7.05222354,161878.0085373972
1660622400000,2022-08-16 04:00:00,BTC/EUR,23738.84,23796.56,23298.89,23629.08,9.92918922,234617.60641451762
1660608000000,2022-08-16 00:00:00,BTC/EUR,23795.35,23864.4,23298.89,23471.02,9.92689141,232994.2668219382
1660536000000,2022-08-15 04:00:00,BTC/EUR,24259.63,24262.94,23377.1,23738.84,9.96179047,236481.3500808548
1660521600000,2022-08-15 00:00:00,BTC/EUR,23729.34,24584.0,23377.1,23795.35,12.26351311,291814.5866820385
1660449600000,2022-08-14 04:00:00,BTC/EUR,23985.14,24584.0,23593.56,24259.63,14.09577737,341958.3435585731
1660435200000,2022-08-14 00:00:00,BTC/EUR,23825.02,24400.0,23593.56,23729.34,11.31225072,268432.2435001248
1660363200000,2022-08-13 04:00:00,BTC/EUR,24156.73,24156.73,23758.51,23985.14,0.43289103,10382.9519592942
1660348800000,2022-08-13 00:00:00,BTC/EUR,23751.51,24228.84,23711.7,23825.02,12.2461522,291764.821088044
1660276800000,2022-08-12 04:00:00,BTC/EUR,23294.86,24156.73,22955.05,24156.73,11.69746255,282572.4445054615
1660262400000,2022-08-12 00:00:00,BTC/EUR,23199.24,23807.19,22955.05,23751.51,5.61358009,133331.0036434359
1660190400000,2022-08-11 04:00:00,BTC/EUR,23699.25,23758.75,23078.44,23294.86,1.28233196,29871.743481725603
1660176000000,2022-08-11 00:00:00,BTC/EUR,23278.18,24036.92,23164.25,23199.24,9.26698745,214987.06592953802
1660104000000,2022-08-10 04:00:00,BTC/EUR,22433.33,23777.82,22385.33,23699.25,9.34706647,221518.4650391475
1660089600000,2022-08-10 00:00:00,BTC/EUR,22718.61,23486.51,22265.62,23278.18,9.32311943,217025.2522530374
1660017600000,2022-08-09 04:00:00,BTC/EUR,23386.97,23441.02,22265.62,22433.33,7.27374633,163174.3517571789
1660003200000,2022-08-09 00:00:00,BTC/EUR,23346.69,23441.02,22400.0,22718.61,7.56013253,171755.7024973833
1659931200000,2022-08-08 04:00:00,BTC/EUR,22896.14,23766.18,22894.97,23386.97,13.83052988,323454.18738766364
1659916800000,2022-08-08 00:00:00,BTC/EUR,22787.23,23766.18,22787.23,23346.69,13.00038917,303516.0558313473
1659844800000,2022-08-07 04:00:00,BTC/EUR,22485.39,22972.01,22485.39,22896.14,6.06482029,138860.9744346806
1659830400000,2022-08-07 00:00:00,BTC/EUR,22536.79,22972.01,22448.09,22787.23,6.36449235,145029.1510126905
1659758400000,2022-08-06 04:00:00,BTC/EUR,22763.73,22968.15,22448.09,22485.39,1.47713949,33214.0575170511
1659744000000,2022-08-06 00:00:00,BTC/EUR,22830.8,22968.15,22536.79,22536.79,2.18064622,49144.7659244338
1659672000000,2022-08-05 04:00:00,BTC/EUR,22659.38,22968.13,22400.0,22763.73,10.47383171,238423.4771118783
1659657600000,2022-08-05 00:00:00,BTC/EUR,22111.48,22968.13,22111.48,22830.8,12.6836581,289578.06134948
1659585600000,2022-08-04 04:00:00,BTC/EUR,22718.73,22774.09,21917.62,22659.38,17.92644717,406202.1784749546
1659571200000,2022-08-04 00:00:00,BTC/EUR,22444.58,22837.04,21917.62,22111.48,14.82666151,327839.42944513477
1659499200000,2022-08-03 04:00:00,BTC/EUR,22401.0,23200.0,22400.0,22718.73,2.27603669,51708.6630302037
1659484800000,2022-08-03 00:00:00,BTC/EUR,22721.01,23200.0,22365.79,22444.58,8.57860636,192543.2167355288
1659412800000,2022-08-02 04:00:00,BTC/EUR,22262.52,22991.11,22157.57,22401.0,12.06154392,270190.64535192
1659398400000,2022-08-02 00:00:00,BTC/EUR,22800.0,22991.11,22157.57,22721.01,13.99250759,317923.9048774659
1659326400000,2022-08-01 04:00:00,BTC/EUR,22826.28,22903.59,22226.85,22262.52,20.33022249,452601.9847880748
1659312000000,2022-08-01 00:00:00,BTC/EUR,22858.77,22919.99,22321.22,22800.0,20.4791772,466925.24016
1659240000000,2022-07-31 04:00:00,BTC/EUR,23237.08,23646.97,22800.0,22826.28,6.52176319,148867.59266863318
1659225600000,2022-07-31 00:00:00,BTC/EUR,23099.85,23646.97,22800.0,22858.77,3.43665585,78557.7256443045
1659153600000,2022-07-30 04:00:00,BTC/EUR,23497.21,24093.81,23052.54,23237.08,1.168542,27153.50393736
1659139200000,2022-07-30 00:00:00,BTC/EUR,23599.97,24093.81,23052.54,23099.85,1.16986909,27023.800498636498
1659067200000,2022-07-29 04:00:00,BTC/EUR,23453.04,24058.47,23070.19,23497.21,15.33458254,360319.9062047134
1659052800000,2022-07-29 00:00:00,BTC/EUR,23396.42,24058.47,23070.19,23599.97,16.36189842,386140.3118550474
1658980800000,2022-07-28 04:00:00,BTC/EUR,22677.63,23703.05,22677.63,23453.04,3.43606582,80586.1891190928
1658966400000,2022-07-28 00:00:00,BTC/EUR,22487.33,23703.05,22297.74,23396.42,44.70417346,1045917.6180230131
1658894400000,2022-07-27 04:00:00,BTC/EUR,20759.77,22951.84,20759.77,22677.63,61.45013951,1393543.5272561614
1658880000000,2022-07-27 00:00:00,BTC/EUR,21004.22,22624.07,20759.77,22487.33,50.95917957,1145935.8875198483
1658808000000,2022-07-26 04:00:00,BTC/EUR,20659.37,21004.22,20478.06,20759.77,15.70703497,326074.43335915694
1658793600000,2022-07-26 00:00:00,BTC/EUR,20862.91,21004.22,20400.0,21004.22,25.57132912,537105.8225288865
1658721600000,2022-07-25 04:00:00,BTC/EUR,21391.7,21751.04,20400.0,20659.37,36.27385264,749394.9430152368
1658707200000,2022-07-25 00:00:00,BTC/EUR,22232.15,22232.15,20800.0,20862.91,27.75805986,579113.9046337926
1658635200000,2022-07-24 04:00:00,BTC/EUR,21891.83,22522.38,21356.8,21391.7,31.18824947,667169.676187399
