https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP
1645801200000,2022-02-25 15:00:00,BTC/GBP,29165.79,29500.83,28975.95,29414.67,15.36857976,452061.70200907916
1645797600000,2022-02-25 14:00:00,BTC/GBP,29427.98,29500.83,29165.79,29165.79,10.43538217,304356.1649399643
1645794000000,2022-02-25 13:00:00,BTC/GBP,29403.11,29616.79,29332.39,29427.98,5.13413901,151087.3401034998
1645790400000,2022-02-25 12:00:00,BTC/GBP,28991.73,29469.91,28991.73,29403.11,12.9960018,382122.870485598
1645786800000,2022-02-25 11:00:00,BTC/GBP,28868.14,29052.69,28723.96,28991.73,2.73347691,79248.22453595429
1645783200000,2022-02-25 10:00:00,BTC/GBP,28959.67,28982.88,28812.73,28868.14,0.48022975,13863.339655165
1645779600000,2022-02-25 09:00:00,BTC/GBP,28720.5,28959.67,28454.77,28959.67,1.81643711,52603.4192813537
1645776000000,2022-02-25 08:00:00,BTC/GBP,28676.32,28746.34,28546.97,28720.5,0.21778455,6254.881168275
1645772400000,2022-02-25 07:00:00,BTC/GBP,28870.45,28889.62,28676.32,28676.32,0.32720272,9382.9699035904
1645768800000,2022-02-25 06:00:00,BTC/GBP,28699.51,28870.45,28635.46,28870.45,0.2097776,6056.3737119200005
1645765200000,2022-02-25 05:00:00,BTC/GBP,28901.77,29095.92,28635.46,28699.51,0.14286303,4100.0989581153
1645761600000,2022-02-25 04:00:00,BTC/GBP,29067.99,29138.94,28901.77,28901.77,0.0096777,279.70265952899996
1645758000000,2022-02-25 03:00:00,BTC/GBP,28958.03,29077.68,28770.43,29067.99,1.15889042,33686.615139655805
1645754400000,2022-02-25 02:00:00,BTC/GBP,28757.0,28959.67,28757.0,28958.03,0.67056423,19418.2190892669
1645750800000,2022-02-25 01:00:00,BTC/GBP,28654.7,29049.16,28546.97,28757.0,0.09792105,2815.91563485
1645747200000,2022-02-25 00:00:00,BTC/GBP,28720.72,28959.67,28635.46,28654.7,1.15312424,33042.429159928
1645743600000,2022-02-24 23:00:00,BTC/GBP,28305.85,28720.72,28305.85,28720.72,0.01573684,451.9733753248
1645740000000,2022-02-24 22:00:00,BTC/GBP,28723.96,28769.91,28264.52,28305.85,1.25129178,35418.877430913
1645736400000,2022-02-24 21:00:00,BTC/GBP,28690.07,28900.0,28577.74,28723.96,5.14139962,147681.35702889517
1645732800000,2022-02-24 20:00:00,BTC/GBP,27912.77,29683.45,27886.34,28690.07,18.37636307,527219.1428237149
1645729200000,2022-02-24 19:00:00,BTC/GBP,27235.01,27912.77,27134.52,27912.77,19.05108566,531768.5722778782
1645725600000,2022-02-24 18:00:00,BTC/GBP,26868.62,27500.0,26826.49,27235.01,24.9038874,678257.6223778739
1645722000000,2022-02-24 17:00:00,BTC/GBP,27139.01,27139.01,26819.21,26868.62,4.88515445,131257.358558359
1645718400000,2022-02-24 16:00:00,BTC/GBP,27098.41,27282.66,26909.68,27139.01,31.69166745,860080.4798422245
1645714800000,2022-02-24 15:00:00,BTC/GBP,26754.45,27145.79,26633.63,27098.41,8.5515194,231732.578824154
1645711200000,2022-02-24 14:00:00,BTC/GBP,26614.75,26892.5,26426.68,26754.45,18.13718866,485250.507144537
1645707600000,2022-02-24 13:00:00,BTC/GBP,26323.15,26704.52,26288.0,26614.75,9.95410513,264926.0195086675
1645704000000,2022-02-24 12:00:00,BTC/GBP,26469.24,26469.24,26155.69,26323.15,19.82118843,521756.1162211545
1645700400000,2022-02-24 11:00:00,BTC/GBP,26252.46,26578.68,26070.53,26469.24,16.27340042,430744.54133308085
1645696800000,2022-02-24 10:00:00,BTC/GBP,26372.51,26403.47,25989.92,26252.46,11.25692332,295521.9291813672
1645693200000,2022-02-24 09:00:00,BTC/GBP,26420.35,26644.28,26298.17,26372.51,7.3798547,194625.291874297
1645689600000,2022-02-24 08:00:00,BTC/GBP,26281.97,26572.99,26131.56,26420.35,16.06957096,424563.689113036
1645686000000,2022-02-24 07:00:00,BTC/GBP,25870.13,26317.86,25583.69,26281.97,21.23924666,558209.2435407202
1645682400000,2022-02-24 06:00:00,BTC/GBP,25700.33,25995.02,25700.33,25870.13,3.36908259,87158.6045840367
1645678800000,2022-02-24 05:00:00,BTC/GBP,26013.32,26018.53,25474.06,25700.33,9.60837009,246938.2820751297
1645675200000,2022-02-24 04:00:00,BTC/GBP,25844.93,26091.5,25602.04,26013.32,19.50908394,507496.0434380808
1645671600000,2022-02-24 03:00:00,BTC/GBP,26615.08,26615.08,25735.44,25844.93,17.75424805,458857.2980548865
1645668000000,2022-02-24 02:00:00,BTC/GBP,27332.61,27363.4,26554.0,26615.08,9.42331263,250802.2195124604
1645664400000,2022-02-24 01:00:00,BTC/GBP,27206.37,27401.93,27126.81,27332.61,2.38331432,65142.20081597521
1645660800000,2022-02-24 00:00:00,BTC/GBP,27602.19,27649.81,27162.37,27206.37,2.33598302,63553.618355837396
1645657200000,2022-02-23 23:00:00,BTC/GBP,27795.17,27834.47,27404.4,27602.19,3.32665316,91822.9125864204
1645653600000,2022-02-23 22:00:00,BTC/GBP,27755.33,27795.17,27470.36,27795.17,0.1588959,4416.538552803
1645650000000,2022-02-23 21:00:00,BTC/GBP,27843.19,27914.64,27679.81,27755.33,0.54067562,15006.630256054601
1645646400000,2022-02-23 20:00:00,BTC/GBP,27810.88,27873.18,27677.25,27843.19,1.01747808,28329.8355022752
1645642800000,2022-02-23 19:00:00,BTC/GBP,27898.24,27980.68,27765.35,27810.88,3.00306651,83517.9223416288
1645639200000,2022-02-23 18:00:00,BTC/GBP,28104.7,28129.03,27879.17,27898.24,1.82792107,50995.7807119168
1645635600000,2022-02-23 17:00:00,BTC/GBP,28543.02,28604.43,28104.7,28104.7,3.25851743,91579.654814921
1645632000000,2022-02-23 16:00:00,BTC/GBP,28454.54,28579.56,28329.15,28543.02,1.06044011,30268.1632685322
1645628400000,2022-02-23 15:00:00,BTC/GBP,28543.9,28543.9,28371.61,28454.54,1.34269228,38205.691188951205
1645624800000,2022-02-23 14:00:00,BTC/GBP,28669.13,28700.0,28543.81,28543.9,2.78838768,79591.45909915201
1645621200000,2022-02-23 13:00:00,BTC/GBP,28728.32,28889.62,28635.46,28669.13,2.25186779,64559.0904143227
1645617600000,2022-02-23 12:00:00,BTC/GBP,28547.09,28749.25,28547.09,28728.32,2.06353993,59282.03544181761
1645614000000,2022-02-23 11:00:00,BTC/GBP,28599.42,28781.5,28529.55,28547.09,2.56362435,73184.0150456415
1645610400000,2022-02-23 10:00:00,BTC/GBP,28602.72,28633.6,28512.03,28599.42,4.00241846,114466.8465532932
1645606800000,2022-02-23 09:00:00,BTC/GBP,28383.47,28617.51,28383.47,28602.72,3.43399645,98221.638940344
1645603200000,2022-02-23 08:00:00,BTC/GBP,28079.71,28487.5,28053.5,28383.47,9.49809099,269588.7806719353
1645599600000,2022-02-23 07:00:00,BTC/GBP,27957.8,28079.71,27956.76,28079.71,0.29546212,8296.4906455852
1645596000000,2022-02-23 06:00:00,BTC/GBP,27924.77,28049.51,27924.77,27957.8,0.35026588,9792.663419863999
1645592400000,2022-02-23 05:00:00,BTC/GBP,27974.81,28040.54,27851.16,27924.77,0.40780931,11387.9811856087
1645588800000,2022-02-23 04:00:00,BTC/GBP,27776.73,27993.2,27776.73,27974.81,1.2594671,35233.352823751
