https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1661731200000,2022-08-29 00:00:00,BTCG/USD,19547.44,20397.0,19547.44,20275.48,6.01598536,121976.9908469728
1661659200000,2022-08-28 04:00:00,BTCG/USD,19990.0,20134.09,19547.44,19862.83,4.49132443,89210.4136279369
1661644800000,2022-08-28 00:00:00,BTCG/USD,19901.57,20134.09,19547.44,19547.44,2.52335113,49325.054812607195
1661572800000,2022-08-27 04:00:00,BTCG/USD,20236.4,20279.72,19800.16,19990.0,6.80925073,136116.9220927
1661558400000,2022-08-27 00:00:00,BTCG/USD,20171.62,20323.3,19800.16,19901.57,6.86388746,136602.1367573122
1661486400000,2022-08-26 04:00:00,BTCG/USD,21589.11,21808.0,20150.79,20236.4,30.67237813,620698.512789932
1661472000000,2022-08-26 00:00:00,BTCG/USD,21599.22,21808.0,20150.79,20171.62,31.02317961,625787.7902846682
1661400000000,2022-08-25 04:00:00,BTCG/USD,21512.16,21791.06,21383.82,21589.11,3.17214382,68483.7618658002
1661385600000,2022-08-25 00:00:00,BTCG/USD,21378.8,21791.06,21364.21,21599.22,3.03218062,65492.73629111641
1661313600000,2022-08-24 04:00:00,BTCG/USD,21243.85,21783.4,21243.85,21512.16,0.83016179,17858.5732523664
1661299200000,2022-08-24 00:00:00,BTCG/USD,21567.99,21788.36,21200.62,21378.8,5.12915497,109655.178272636
1661227200000,2022-08-23 04:00:00,BTCG/USD,21328.81,21641.29,20910.96,21243.85,4.36132467,92651.3270907795
1661212800000,2022-08-23 00:00:00,BTCG/USD,21397.74,21641.29,20910.96,21567.99,3.69067975,79600.54394120252
1661140800000,2022-08-22 04:00:00,BTCG/USD,21459.28,21514.31,20236.0,21328.81,5.40797211,115345.60961948911
1661126400000,2022-08-22 00:00:00,BTCG/USD,21623.11,21623.11,20236.0,21397.74,6.50638223,139221.87529816022
1661054400000,2022-08-21 04:00:00,BTCG/USD,21172.27,21777.0,20755.27,21459.28,3.9029047,83753.524770616
1661040000000,2022-08-21 00:00:00,BTCG/USD,21276.09,21777.0,21068.84,21623.11,2.7251916,58927.117737876004
1660968000000,2022-08-20 04:00:00,BTCG/USD,21109.98,21431.73,20748.71,21172.27,3.1527994,66751.920152638
1660953600000,2022-08-20 00:00:00,BTCG/USD,20839.11,21431.73,20748.71,21276.09,5.18526795,110322.2275783155
1660881600000,2022-08-19 04:00:00,BTCG/USD,22787.1,23090.05,20809.1,21109.98,19.0075407,401248.804026186
1660867200000,2022-08-19 00:00:00,BTCG/USD,23233.99,23233.99,20839.11,20839.11,17.95684153,374204.5958962383
1660795200000,2022-08-18 04:00:00,BTCG/USD,23448.97,23569.03,22727.79,22787.1,3.12383273,71183.088801783
1660780800000,2022-08-18 00:00:00,BTCG/USD,23341.06,23569.03,23150.32,23233.99,2.91375542,67698.1642907258
1660708800000,2022-08-17 04:00:00,BTCG/USD,24056.36,24423.11,23171.14,23448.97,6.24769232,146501.9497809104
1660694400000,2022-08-17 00:00:00,BTCG/USD,23867.45,24423.11,23171.14,23341.06,6.50260301,151777.6470125906
1660622400000,2022-08-16 04:00:00,BTCG/USD,23991.27,24679.45,23647.43,24056.36,5.93216887,142706.3899175132
1660608000000,2022-08-16 00:00:00,BTCG/USD,24136.51,24679.45,23647.43,23867.45,6.08572266,145250.681301417
1660536000000,2022-08-15 04:00:00,BTCG/USD,24865.59,25120.0,22862.43,23991.27,7.92197417,190058.22124549592
1660521600000,2022-08-15 00:00:00,BTCG/USD,24298.57,25209.37,22862.43,24136.51,7.63897106,184378.10137940058
1660449600000,2022-08-14 04:00:00,BTCG/USD,24606.71,25209.37,24229.9,24865.59,2.60698212,64824.1485332508
1660435200000,2022-08-14 00:00:00,BTCG/USD,24763.54,25018.36,24229.9,24298.57,2.00623823,48748.7200683311
1660363200000,2022-08-13 04:00:00,BTCG/USD,24770.22,25220.0,24246.89,24606.71,1.69865359,41798.2762795889
1660348800000,2022-08-13 00:00:00,BTCG/USD,24372.71,25220.0,24000.0,24763.54,4.89744339,121278.03528600061
1660276800000,2022-08-12 04:00:00,BTCG/USD,24031.12,24770.22,23626.81,24770.22,12.02515248,297865.6724631456
1660262400000,2022-08-12 00:00:00,BTCG/USD,25058.5,25058.5,23626.81,24372.71,11.54320472,281339.1811111912
